,index,Breed,Classification,obey,reps_lower,reps_upper
77,77,King Charles Spaniel,Average Working/Obedience Intelligence,50%,26,40
78,78,Tibetan Spaniel,Average Working/Obedience Intelligence,50%,26,40
79,79,English Foxhound,Average Working/Obedience Intelligence,50%,26,40
80,80,Otterhound,Average Working/Obedience Intelligence,50%,26,40
81,81,Jack Russell terrier,Average Working/Obedience Intelligence,50%,26,40
82,82,American Foxhound,Average Working/Obedience Intelligence,50%,26,40
83,83,Greyhound,Average Working/Obedience Intelligence,50%,26,40
84,84,Wirehaired Pointing Griffon,Average Working/Obedience Intelligence,50%,26,40
85,85,West Highland White Terrier,Average Working/Obedience Intelligence,50%,26,40
86,86,Havanese,Average Working/Obedience Intelligence,50%,26,40
87,87,Scottish Deerhound,Average Working/Obedience Intelligence,50%,26,40
88,88,Boxer,Average Working/Obedience Intelligence,50%,26,40
89,89,Great Dane,Average Working/Obedience Intelligence,50%,26,40
90,90,Dachshund,Average Working/Obedience Intelligence,50%,26,40
91,91,Shiba Inu,Average Working/Obedience Intelligence,50%,26,40
92,92,Staffordshire Bull Terrier,Average Working/Obedience Intelligence,50%,26,40
93,93,Alaskan Malamute,Average Working/Obedience Intelligence,50%,26,40
94,94,Whippet,Average Working/Obedience Intelligence,50%,26,40
95,95,Chinese Shar Pei,Average Working/Obedience Intelligence,50%,26,40
96,96,Wire Fox Terrier,Average Working/Obedience Intelligence,50%,26,40
97,97,Rhodesian Ridgeback,Average Working/Obedience Intelligence,50%,26,40
98,98,Ibizan Hound,Average Working/Obedience Intelligence,50%,26,40
99,99,Welsh Terrier,Average Working/Obedience Intelligence,50%,26,40
100,100,Irish Terrier,Average Working/Obedience Intelligence,50%,26,40
101,101,Boston Terrier,Average Working/Obedience Intelligence,50%,26,40
102,102,Akita,Average Working/Obedience Intelligence,50%,26,40
103,103,Skye Terrier,Fair Working/Obedience Intelligence,30%,41,80
104,104,Norfolk Terrier,Fair Working/Obedience Intelligence,30%,41,80
105,105,Sealyham Terrier,Fair Working/Obedience Intelligence,30%,41,80
106,106,Pug,Fair Working/Obedience Intelligence,30%,41,80
107,107,French Bulldog,Fair Working/Obedience Intelligence,30%,41,80
108,108,Griffon Bruxellois,Fair Working/Obedience Intelligence,30%,41,80
109,109,Maltese,Fair Working/Obedience Intelligence,30%,41,80
110,110,Italian Greyhound,Fair Working/Obedience Intelligence,30%,41,80
111,111,Chinese Crested,Fair Working/Obedience Intelligence,30%,41,80
112,112,Dandie Dinmont Terrier,Fair Working/Obedience Intelligence,30%,41,80
113,113,Petit Basset Griffon Vend̩en,Fair Working/Obedience Intelligence,30%,41,80
114,114,Tibetan Terrier,Fair Working/Obedience Intelligence,30%,41,80
115,115,Japanese Chin,Fair Working/Obedience Intelligence,30%,41,80
116,116,Lakeland Terrier,Fair Working/Obedience Intelligence,30%,41,80
117,117,Old English Sheepdog,Fair Working/Obedience Intelligence,30%,41,80
118,118,Great Pyrenees,Fair Working/Obedience Intelligence,30%,41,80
119,119,Scottish Terrier,Fair Working/Obedience Intelligence,30%,41,80
120,120,Saint Bernard,Fair Working/Obedience Intelligence,30%,41,80
121,121,Bull Terrier,Fair Working/Obedience Intelligence,30%,41,80
122,122,Chihuahua,Fair Working/Obedience Intelligence,30%,41,80
123,123,Lhasa Apso,Fair Working/Obedience Intelligence,30%,41,80
124,124,Bullmastiff,Fair Working/Obedience Intelligence,30%,41,80
125,125,Shih Tzu,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
126,126,Basset Hound,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
127,127,Mastiff,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
128,128,Beagle,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
129,129,Pekingese,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
130,130,Bloodhound,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
131,131,Borzoi,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
132,132,Chow Chow,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
133,133,Bulldog,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
134,134,Basenji,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
135,135,Afghan Hound,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
