,id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
331555,331556,AA,2328,DFW,ORD,1,475,140,0
446760,446761,MQ,4671,ATL,LGA,7,1125,145,0
107725,107726,DL,1696,ATL,BDL,2,577,150,0
244608,244609,OO,6317,SBA,LAX,3,531,49,0
488746,488747,DL,2180,SLC,DTW,3,420,219,0
22366,22367,B6,681,BOS,DCA,4,580,101,0
78880,78881,B6,1188,SRQ,BOS,7,945,176,0
453984,453985,9E,4234,MDW,DTW,1,530,80,1
485996,485997,YV,2847,PHX,YUM,2,1250,70,0
56819,56820,WN,2125,DAL,BHM,6,515,90,1
156244,156245,CO,198,DEN,IAH,5,360,143,1
210980,210981,HA,256,HNL,OGG,1,610,37,0
62692,62693,MQ,3017,RNO,LAX,6,865,90,0
512603,512604,OO,4471,SEA,SLC,4,690,114,0
14168,14169,MQ,4051,ORD,BNA,3,1085,90,1
480659,480660,OO,6990,DEN,LNK,2,957,78,1
75364,75365,AA,2346,DFW,ORD,7,755,135,0
119780,119781,YV,2716,PHX,FAT,2,1265,102,0
191186,191187,EV,5412,ATL,SHV,7,515,125,0
383809,383810,YV,2832,PHX,ELP,3,1365,69,0
259169,259170,MQ,3314,FWA,DFW,4,375,165,0
358824,358825,WN,851,LAS,LAX,2,935,65,1
381880,381881,MQ,4178,ORD,CMI,3,1180,55,0
166654,166655,WN,1118,BNA,HOU,5,885,135,1
56436,56437,DL,1433,CLT,ATL,6,500,83,0
476664,476665,FL,1742,PIT,MCO,2,744,131,1
372419,372420,UA,403,DEN,SNA,3,686,157,1
44773,44774,AA,939,RDU,MIA,5,805,130,1
199058,199059,FL,76,FLL,ATL,7,935,119,1
299475,299476,WN,1998,DAL,HOU,6,570,60,1
8221,8222,YV,2628,GSO,CLT,3,770,54,0
202766,202767,OO,6572,ASE,DEN,7,1132,48,0
479751,479752,EV,5546,GSP,ATL,2,907,67,1
201799,201800,CO,1645,CLE,IAH,7,1077,190,1
127102,127103,OO,6733,DEN,RNO,3,690,139,1
21547,21548,B6,1245,BOS,CLT,4,535,144,0
437953,437954,DL,2705,ATL,ECP,7,660,75,1
256275,256276,OO,6868,ABQ,DEN,3,1160,76,1
520125,520126,US,701,PHL,LAX,4,1080,369,1
362992,362993,OO,6519,SJC,LAX,2,1154,76,1
206175,206176,WN,1772,SFO,SAN,1,365,85,1
203431,203432,FL,1216,SRQ,MDW,7,1165,166,1
394982,394983,EV,5573,ATL,XNA,4,897,119,1
117125,117126,US,1203,CLT,IAH,2,1085,170,0
51852,51853,CO,159,DCA,IAH,5,1175,205,1
13233,13234,FL,203,ATL,CAK,3,1040,96,1
65532,65533,UA,651,EWR,ORD,6,1050,160,1
340553,340554,CO,1450,CLE,LGA,1,939,100,0
195275,195276,FL,598,ATL,ROC,7,731,124,0
490865,490866,OO,7025,MBS,ORD,3,522,79,0
131477,131478,B6,509,EWR,FLL,3,929,183,1
145288,145289,OO,6346,SFO,SBP,4,712,72,1
4589,4590,US,1991,PHL,ORD,3,575,141,1
124003,124004,AA,1238,SEA,ORD,3,525,235,0
426942,426943,FL,1423,TPA,IND,6,926,134,0
461351,461352,DL,1256,CVG,BOS,1,915,126,1
374776,374777,DL,1951,ATL,MIA,3,810,110,1
447491,447492,F9,139,DFW,DEN,7,1163,119,1
168070,168071,XE,2473,MHT,EWR,5,960,87,0
177368,177369,DL,2326,FLL,ATL,6,530,115,0
319102,319103,CO,458,IAH,DCA,7,775,170,0
52896,52897,DL,1064,ATL,MLB,5,1250,92,1
405157,405158,OO,6826,SFO,ONT,5,480,74,0
49118,49119,WN,430,BHM,MSY,5,1030,70,1
328288,328289,OO,6297,DEN,ABQ,7,1305,74,0
399923,399924,OO,7032,MSN,DEN,4,1153,157,1
66240,66241,WN,2448,BWI,PVD,6,1105,70,0
48098,48099,DL,2506,MSP,MEM,5,980,120,1
318850,318851,AA,1362,ORD,JFK,7,760,130,0
354903,354904,9E,3807,DTW,MBS,2,730,53,0
101272,101273,OO,6729,DEN,XNA,1,1171,100,0
347968,347969,OO,4467,SAN,LAX,2,378,47,1
378481,378482,OH,6424,DFW,MEM,3,1005,93,1
313446,313447,WN,2175,ALB,MCO,7,470,195,0
409855,409856,AA,711,FLL,ORD,5,725,200,0
41808,41809,US,365,PHX,SMF,5,650,123,0
274739,274740,B6,1310,IAD,JFK,4,1180,83,1
304810,304811,CO,519,TPA,EWR,6,875,165,0
221165,221166,WN,2287,PHL,RDU,1,1145,85,0
241374,241375,OH,6522,PHL,MEM,3,365,178,0
176022,176023,US,881,ORD,CLT,6,455,114,0
280164,280165,DL,1452,ABQ,ATL,5,510,179,0
502882,502883,MQ,3646,JAX,MIA,3,1150,80,0
103870,103871,DL,1909,FNT,ATL,2,375,146,0
522016,522017,AS,695,GEG,SEA,4,1185,63,1
478514,478515,WN,2552,STL,BNA,2,840,60,1
50712,50713,OO,6962,FSD,ORD,5,1112,108,0
200461,200462,WN,1413,PHX,ABQ,7,1010,65,1
85003,85004,FL,793,ATL,STL,7,1345,102,0
67906,67907,AA,1831,MIA,TPA,6,1335,60,0
144616,144617,UA,450,SNA,DEN,4,678,139,1
170163,170164,WN,1162,PHL,MDW,5,1065,140,1
431581,431582,FL,949,BWI,ROC,6,1310,75,0
416437,416438,OH,6622,MEM,ORD,5,1160,111,1
533934,533935,XE,2602,DCA,EWR,5,879,80,1
216916,216917,DL,2949,DTW,SEA,1,920,300,1
512531,512532,US,1729,CLT,MCO,4,688,91,1
87456,87457,OH,6461,BOS,JFK,1,450,87,0
406425,406426,UA,309,MCO,DEN,5,541,250,1
337836,337837,CO,146,IAH,ORD,1,795,155,1
2129,2130,OO,6312,PSP,LAX,3,446,52,0
366790,366791,WN,473,TPA,BNA,3,400,115,0
474374,474375,XE,2065,IAH,RIC,2,625,158,0
108488,108489,9E,4212,DTW,TYS,2,620,100,0
397283,397284,9E,4386,GRR,MSP,4,1020,98,1
221620,221621,US,1645,DCA,TPA,1,1170,144,0
187455,187456,FL,70,FLL,ATL,6,1181,114,0
487466,487467,MQ,4581,CLT,LGA,3,360,110,1
484763,484764,DL,2443,EWR,ATL,2,1170,160,1
25907,25908,MQ,3369,DFW,DSM,4,760,115,0
160178,160179,WN,1944,OAK,SEA,5,545,125,0
506127,506128,XE,2208,MCI,EWR,4,360,155,1
498942,498943,AS,188,FAI,ANC,3,945,60,0
176932,176933,B6,1251,BOS,IAD,6,509,102,0
429141,429142,B6,1327,BOS,BWI,6,1065,93,0
390720,390721,MQ,3794,ORD,ELP,4,675,200,1
534027,534028,AA,203,MIA,LAX,5,885,350,0
496972,496973,MQ,2779,DFW,GSP,3,840,130,1
33244,33245,DL,1854,ATL,CMH,4,1146,102,0
60571,60572,EV,5246,CHA,ATL,6,733,57,0
157442,157443,AA,1461,MCO,DFW,5,415,185,0
432615,432616,YV,7279,SYR,IAD,7,370,90,1
439738,439739,DL,208,MIA,JFK,7,750,179,0
10149,10150,US,9,SEA,PHX,3,875,167,0
259987,259988,DL,1163,EWR,DTW,4,420,128,0
127011,127012,DL,2725,BOS,MSP,3,686,194,1
396855,396856,EV,5515,MOB,MEM,4,995,80,0
69986,69987,US,400,CMH,PHX,7,465,274,0
52245,52246,YV,1040,HNL,ITO,5,1195,49,0
323378,323379,XE,2207,ICT,IAH,7,1003,106,1
520026,520027,FL,636,DAY,BWI,4,1076,84,0
398800,398801,WN,3056,ABQ,PHX,4,1090,80,1
95091,95092,WN,782,MDW,IAD,1,840,110,1
151461,151462,9E,4015,PIT,DTW,4,1036,84,1
270059,270060,US,191,PHL,PHX,4,935,320,0
411667,411668,9E,4007,MEM,DAL,5,830,95,0
375574,375575,OO,7011,DEN,BOI,3,853,115,1
336694,336695,XE,2763,VPS,IAH,1,734,116,0
383052,383053,YV,2879,PHX,BFL,3,1260,90,1
402930,402931,MQ,3884,CLE,ORD,5,360,85,0
270128,270129,CO,821,CLE,FLL,4,940,170,0
143157,143158,YV,2888,PSP,PHX,4,600,67,0
341427,341428,US,1702,CLT,BDL,1,985,114,0
491339,491340,F9,400,LAX,DEN,3,545,140,0
196277,196278,XE,5911,ORD,PIA,7,785,49,0
238723,238724,WN,2353,MCO,CMH,2,1155,135,1
355907,355908,AS,6,LAX,DCA,2,785,290,0
297646,297647,FL,783,PHF,LGA,6,475,76,0
222586,222587,AS,46,BET,ANC,1,1240,68,0
204256,204257,AA,1790,STL,DCA,7,1215,105,0
4481,4482,MQ,4149,ORD,TYS,3,570,95,0
226550,226551,WN,1154,SAN,SFO,2,495,100,1
20194,20195,WN,971,ONT,SJC,4,465,70,0
449396,449397,WN,273,BNA,BWI,7,1295,95,0
489030,489031,FL,1206,RIC,MCO,3,430,126,1
273866,273867,US,117,SFO,LAS,4,1135,88,0
352405,352406,FL,1267,BMI,MCO,2,604,142,1
452512,452513,DL,2232,ORD,MSP,1,455,97,1
62184,62185,WN,2014,LAS,DEN,6,830,110,1
269573,269574,CO,1117,EWR,ORD,4,910,160,1
374985,374986,US,1028,PHL,MCO,3,820,152,1
463450,463451,UA,485,MIA,DEN,1,1024,274,1
36932,36933,UA,954,LAX,SFO,5,400,85,0
177803,177804,WN,688,BWI,BNA,6,555,120,1
243371,243372,US,97,PHL,PIT,3,470,81,0
197929,197930,WN,759,DEN,MDW,7,875,135,0
451311,451312,WN,3775,SFO,LAX,1,395,75,1
253579,253580,B6,167,JFK,TPA,3,1020,187,0
379790,379791,CO,1010,IAH,EWR,3,1070,210,1
430576,430577,XE,2085,EWR,CHS,6,1170,122,1
312671,312672,DL,2787,FAR,MSP,7,425,77,0
351006,351007,OO,6268,XNA,DEN,2,529,130,1
459232,459233,WN,482,SNA,OAK,1,800,85,0
381241,381242,OO,4877,IAD,MSP,3,1148,167,0
378112,378113,WN,161,LGA,BWI,3,985,80,1
115107,115108,US,940,SAN,PHX,2,980,75,0
465776,465777,MQ,2772,XNA,DFW,1,1145,75,0
157774,157775,OH,6516,MSP,JFK,5,425,165,1
150512,150513,AA,1255,DFW,SEA,4,990,260,1
480883,480884,OO,6511,JAC,LAX,2,966,148,1
142289,142290,OO,6379,SBP,LAX,4,557,62,1
472177,472178,DL,2842,ATL,EWR,2,515,138,1
231113,231114,AA,504,SJC,DFW,2,740,205,1
389053,389054,EV,5019,ATL,CSG,4,590,50,0
